Locality Number	Station Number	Locality Name	Address Name
30000	664	ירושלים	סורוצקין 40
30000	665	ירושלים	סורוצקין 40
30000	666	ירושלים	סורוצקין 40
30000	667	ירושלים	סורוצקין 40
30000	668	ירושלים	סורוצקין 40
30000	670	ירושלים	עזרת תורה 45
30000	680	ירושלים	ראשון לציון 7
30000	2090	ירושלים	זכרון יעקב 5
30000	2140	ירושלים	שחר 19
30000	2210	ירושלים	אהלי יוסף 15
30000	2220	ירושלים	בן ציון 24
30000	2250	ירושלים	זכרון יעקב 3
30000	2320	ירושלים	ראשון לציון 7
30000	2340	ירושלים	בן ציון 24
30000	2380	ירושלים	זכרון יעקב 5
30000	2420	ירושלים	"המ""ג 1"
30000	2440	ירושלים	ראשון לציון 7
30000	2450	ירושלים	זכרון יעקב 3
30000	2460	ירושלים	"המ""ג 1"
30000	2470	ירושלים	ראשון לציון 7
30000	2480	ירושלים	נג'ארה 27
30000	2490	ירושלים	נג'ארה 27
30000	2510	ירושלים	זכרון יעקב 3
30000	2520	ירושלים	בן ציון 24
30000	2610	ירושלים	שחר 19
30000	2750	ירושלים	שחר 19
30000	4240	ירושלים	נג'ארה 27
30000	4530	ירושלים	ראשון לציון 7
30000	8330	ירושלים	אהלי יוסף 15
30000	30	ירושלים	מגן האלף 1
30000	40	ירושלים	פישל אהרן 29
30000	60	ירושלים	מגן האלף 1
30000	80	ירושלים	מגן האלף 3
30000	90	ירושלים	פישל אהרן 29
30000	100	ירושלים	מגן האלף 3
30000	190	ירושלים	מגן האלף 3
30000	210	ירושלים	מגן האלף 3
30000	240	ירושלים	מגן האלף 3
30000	250	ירושלים	מגן האלף 1
30000	290	ירושלים	מגן האלף 1
30000	340	ירושלים	הטורים 23
30000	430	ירושלים	מלכי ישראל 57
30000	440	ירושלים	מלכי ישראל 57
30000	450	ירושלים	מלכי ישראל 57
30000	460	ירושלים	פישל אהרן 29
30000	470	ירושלים	פישל אהרן 29
30000	490	ירושלים	הטורים 23
30000	510	ירושלים	ילין דוד 41
30000	530	ירושלים	הטורים 23
30000	540	ירושלים	מלכי ישראל 57
30000	550	ירושלים	מלכי ישראל 57
30000	560	ירושלים	ישעיהו 7
30000	570	ירושלים	מלכי ישראל 57
30000	580	ירושלים	ישעיהו 7
30000	600	ירושלים	ישעיהו 7
30000	610	ירושלים	ישעיהו 7
30000	2050	ירושלים	ילין דוד 41
30000	2080	ירושלים	ישעיהו 7
30000	2100	ירושלים	בזל 3
30000	2110	ירושלים	בזל 3
30000	2240	ירושלים	ויטל חיים 32
30000	2350	ירושלים	ויטל חיים 32
30000	2400	ירושלים	ויטל חיים 32
30000	2500	ירושלים	ויטל חיים 32
30000	2680	ירושלים	בן ציון 7
30000	2690	ירושלים	בן ציון 7
30000	2700	ירושלים	בן ציון 7
30000	2710	ירושלים	בזל 3
30000	2720	ירושלים	בזל 3
30000	2730	ירושלים	בזל 3
30000	2780	ירושלים	בן ציון 7
30000	3030	ירושלים	מגן האלף 1
30000	4130	ירושלים	הטורים 23
30000	8490	ירושלים	ויטל חיים 32
30000	2120	ירושלים	הרב אבן דנן 30
30000	2131	ירושלים	החלוץ 47
30000	2132	ירושלים	החלוץ 47
30000	2133	ירושלים	החלוץ 47
30000	2134	ירושלים	החלוץ 47
30000	2151	ירושלים	הקבלן 8
30000	2152	ירושלים	הקבלן 8
30000	2153	ירושלים	הקבלן 8
30000	2154	ירושלים	הקבלן 8
30000	2155	ירושלים	הקבלן 8
30000	2156	ירושלים	הקבלן 8
30000	2157	ירושלים	הקבלן 8
30000	2158	ירושלים	הקבלן 8
30000	2160	ירושלים	הרב טייב חי 46
30000	2170	ירושלים	הרב אבן דנן 30
30000	2180	ירושלים	הרב אבן דנן 30
30000	2530	ירושלים	הרב טייב חי 46
30000	2540	ירושלים	הרב אבן דנן 30
30000	2560	ירושלים	הרב אבן דנן 30
30000	2570	ירושלים	הרב טייב חי 46
30000	2580	ירושלים	הרב טייב חי 46
30000	2601	ירושלים	התומר 5
30000	2602	ירושלים	התומר 5
30000	2603	ירושלים	התומר 5
30000	2604	ירושלים	התומר 5
30000	2620	ירושלים	תורה ועבודה 6
30000	2640	ירושלים	שחראי 24
30000	2671	ירושלים	שד הרצל 137
30000	2672	ירושלים	שד הרצל 137
30000	2673	ירושלים	שד הרצל 137
30000	2674	ירושלים	שד הרצל 137
30000	2675	ירושלים	שד הרצל 137
30000	2676	ירושלים	שד הרצל 137
30000	2740	ירושלים	מעגל בית המדרש 8
30000	2760	ירושלים	מעגל בית המדרש 8
30000	2770	ירושלים	מעגל בית המדרש 8
30000	2890	ירושלים	תורה ועבודה 6
30000	2900	ירושלים	הרב פרנק 20
30000	2910	ירושלים	הרב פרנק 20
30000	2930	ירושלים	שערי תורה 2
30000	2940	ירושלים	תורה ועבודה 6
30000	2960	ירושלים	שד הרצל 137
30000	2970	ירושלים	הרב פרנק 20
30000	3040	ירושלים	שד הרצל 137
30000	4140	ירושלים	שד הרצל 137
30000	4170	ירושלים	שערי תורה 2
30000	4180	ירושלים	הרב פרנק 20
30000	4440	ירושלים	שד הרצל 137
30000	9670	ירושלים	מוצא תחתית 1 א
30000	2850	ירושלים	הפסגה 24
30000	2870	ירושלים	הפסגה 24
30000	2880	ירושלים	הפסגה 24
30000	3630	ירושלים	רבי צדוק 12
30000	3670	ירושלים	רבי צדוק 12
30000	3710	ירושלים	יוסי בן יועזר 24
30000	3720	ירושלים	ש פת 3
30000	3730	ירושלים	אליעזר הגדול 13
30000	3740	ירושלים	יהודה הנשיא 26
30000	3750	ירושלים	יוסי בן יועזר 24
30000	3761	ירושלים	יוחנן בן זכאי 33
30000	3762	ירושלים	יוחנן בן זכאי 33
30000	3763	ירושלים	יוחנן בן זכאי 33
30000	3764	ירושלים	יוחנן בן זכאי 33
30000	3770	ירושלים	רבי חייא 3
30000	3790	ירושלים	בן גמלא יהושע 7
30000	3830	ירושלים	יהודה הנשיא 26
