Party ID	Excel Name	Ballot Symbol	Party Name	Knesset #	Bloc
286	קי	קי	Eretz Yisrael Shelanu	21	Micro
287	קן	קן	MeHathala	21	Micro
288	קף	קף	Kol Yisrael Ahim	21	Micro
289	ר	ר	The Arab List (Mada–ANP)	21	Micro
290	שס	שס	Shas	21	Orthodox
291	אמת	אמת	Labour–Gesher	22	Left
292	ג	ג	United Torah Judaism	22	Orthodox
293	ודעם	ודעם	Joint List	22	Arab-Israeli
294	ז	ז	Economic Power	22	Micro
295	זכ	זכ	Democracy Party	22	Micro
296	זץ	זץ	Tzomet	22	Micro
297	טב	טב	Yamina	22	Right
298	י	י	Social Leadership	22	Micro
299	יז	יז	Red and White	22	Micro
300	ינ	ינ	Liberal Christian Movement	22	Micro
301	יף	יף	Human Dignity	22	Micro
302	יק	יק	Bible Bloc	22	Micro
303	כי	כי	Popular Unity	22	Micro
304	כף	כף	Otzma Yehudit	22	Right
305	ל	ל	Yisrael Beiteinu	22	Right
306	מחל	מחל	Likud	22	Right
307	מרצ	מרצ	Democratic Union	22	Left
308	נ	נ	Liberal Democratic Progressive Party	22	Micro
309	נך	נך	Respect and Equality	22	Micro
310	פה	פה	Blue and White	22	Secular Centre
311	ףז	ףז	Pirate Party	22	Micro
312	צ	צ	Justice	22	Micro
313	צן	צן	North	22	Micro
314	ץ	ץ	Da'am Workers Party	22	Micro
315	ק	ק	Our Rights In Our Vote	22	Micro
316	קך	קך	New Order	22	Micro
317	קץ	קץ	Kama	22	Micro
318	רק	רק	Secular Right	22	Micro
319	שס	שס	Shas	22	Orthodox
320	אמת	אמת	Labour-Gesher-Meretz	23	Left
321	ג	ג	United Torah Judaism	23	Orthodox
322	ודעם	ודעם	Joint List	23	Arab-Israeli
323	ז	ז	Liberal–Economic Power	23	Micro
324	טב	טב	Yamina	23	Right
325	י	י	Vision	23	Micro
326	יז	יז	Red and White	23	Micro
327	ינ	ינ	Ihud HaBrit VeHaShutafut	23	Micro
328	יף	יף	Human Dignity	23	Micro
329	יק	יק	Bible Bloc	23	Micro
330	יר	יר	Social Leadership	23	Micro
331	כ	כ	Jewish Heart	23	Micro
332	כן	כן	Me and You	23	Micro
333	ל	ל	Yisrael Beiteinu	23	Right
334	מחל	מחל	Likud	23	Right
335	נ	נ	Women's Voice	23	Micro
336	נז	נז	Koah Lehashpi'a	23	Micro
337	ני	ני	Kama	23	Micro
338	נץ	נץ	Otzma Yehudit	23	Micro
339	נק	נק	Mitkademet	23	Micro
340	פה	פה	Blue and White	23	Secular Centre
341	ףז	ףז	The Pirates – For Democracy Click Here	23	Micro
342	ץ	ץ	Da'am–Green Economy–One Nation	23	Micro
343	ק	ק	Israelist – Our Rights in Our Vote	23	Micro
344	קך	קך	New Order	23	Micro
345	קץ	קץ	Mishpat Tzedek	23	Micro
346	שס	שס	Shas	23	Orthodox
347	אמת	אמת	Israeli Labour Party	24	Left
348	ב	ב	Yamina	24	Right
349	ג	ג	United Torah Judaism	24	Orthodox
350	ודעם	ודעם	Joint List	24	Arab-Israeli
351	ז	ז	The Israelis	24	Micro
352	זץ	זץ	Tzomet	24	Micro
353	ט	ט	Religious Zionist Party	24	Orthodox
354	י	י	Social Bang – Pensioners	24	Micro
355	יז	יז	New Economic Party	24	Micro
356	ינ	ינ	Common Alliance	24	Micro
357	יף	יף	Human Dignity	24	Micro
